FilingDate,Mark,Class,Applicant,ApplicationNo
2025-08-21,ChocoFesta,30,SweetNest Pvt Ltd,TM-2025-1000
2025-07-02,SunGlo Skincare,3,Glow Labs,TM-2025-1001
2025-07-15,Brand-Ex,30,SnackCo Ltd,TM-2025-1002
2025-07-26,Sunglow Ultra,3,Ultra Beauty Co,TM-2025-1003
2025-07-21,NutriByte,29,NutriFoods,TM-2025-1004
2025-08-20,AquaPure Plus,32,WaterPure Ltd,TM-2025-1005
2025-07-11,MediKare,5,MediHealth Pvt,TM-2025-1006
2025-08-16,TechZenith,9,ZenTech Pvt Ltd,TM-2025-1007
2025-07-23,EcoLiteX,11,EcoLights Co,TM-2025-1008
2025-06-29,HerbaLifePro,3,Herbal Wellness,TM-2025-1009
2025-07-05,PowerMaxX,12,MaxMotors Ltd,TM-2025-1010
2025-07-25,ZenGlow Naturals,44,ZenWellness,TM-2025-1011
2025-06-28,BioFresh Farms,1,BioFresh Agro,TM-2025-1012
2025-07-11,SafeDrive Pro,39,DriveSafe Ltd,TM-2025-1013
2025-07-16,MediPlus Health,41,MediPlus Clinics,TM-2025-1014
2025-07-27,EcoGrow Agro,30,EcoGrowers,TM-2025-1015
2025-08-23,GreenLife Plus,31,GreenLife Naturals,TM-2025-1016
2025-08-23,TechNovaX,7,TechNova Systems,TM-2025-1017
2025-08-02,PureSkin Glow,10,PureSkin Cosmetics,TM-2025-1018
2025-08-02,MaxEnergy Shot,25,MaxEnergy Beverages,TM-2025-1019
